 

stn;time;tre200h0
EMM;2020123000;0.1
EMM;2020123001;-0.9
EMM;2020123002;-1.2
EMM;2020123003;-1.0
EMM;2020123004;-1.0
EMM;2020123005;-1.7
EMM;2020123006;-2.3
EMM;2020123007;-1.8
EMM;2020123008;-1.3
EMM;2020123009;-0.2
EMM;2020123010;0.4
EMM;2020123011;1.3
EMM;2020123012;2.2
EMM;2020123013;3.1
EMM;2020123014;3.5
EMM;2020123015;3.3
EMM;2020123016;2.6
EMM;2020123017;1.9
EMM;2020123018;1.2
EMM;2020123019;0.9
EMM;2020123020;0.7
EMM;2020123021;1.1
EMM;2020123022;0.9
EMM;2020123023;0.6
EMM;2020123100;0.6
EMM;2020123101;0.6
EMM;2020123102;0.2
EMM;2020123103;-0.5
EMM;2020123104;-1.0
EMM;2020123105;-1.9
EMM;2020123106;-2.5
EMM;2020123107;-3.0
EMM;2020123108;-2.5
EMM;2020123109;-1.6
EMM;2020123110;-0.5
EMM;2020123111;1.0
EMM;2020123112;1.6
EMM;2020123113;2.3
EMM;2020123114;2.4
EMM;2020123115;2.4
EMM;2020123116;1.6
EMM;2020123117;1.1
EMM;2020123118;1.6
EMM;2020123119;1.4
EMM;2020123120;0.9
EMM;2020123121;0.3
EMM;2020123122;-0.7
EMM;2020123123;-0.3
EMM;2021010100;-0.5
EMM;2021010101;-0.3
EMM;2021010102;0.0
EMM;2021010103;0.8
EMM;2021010104;0.7
EMM;2021010105;0.4
EMM;2021010106;0.4
EMM;2021010107;0.6
EMM;2021010108;0.6
EMM;2021010109;1.0
EMM;2021010110;1.6
EMM;2021010111;1.9
EMM;2021010112;2.4
EMM;2021010113;2.5
EMM;2021010114;2.2
EMM;2021010115;1.9
EMM;2021010116;1.8
EMM;2021010117;2.1
EMM;2021010118;1.8
EMM;2021010119;2.0
EMM;2021010120;1.9
EMM;2021010121;1.9
EMM;2021010122;1.9
EMM;2021010123;1.7
EMM;2021010200;1.6
EMM;2021010201;1.5
EMM;2021010202;1.7
EMM;2021010203;1.9
EMM;2021010204;1.9
EMM;2021010205;1.8
EMM;2021010206;1.7
EMM;2021010207;1.6
EMM;2021010208;1.7
EMM;2021010209;1.9
EMM;2021010210;2.1
EMM;2021010211;2.2
EMM;2021010212;2.2
EMM;2021010213;2.1
EMM;2021010214;1.9
EMM;2021010215;1.8
EMM;2021010216;1.7
EMM;2021010217;1.6
EMM;2021010218;1.5
EMM;2021010219;1.4
EMM;2021010220;1.4
EMM;2021010221;1.3
EMM;2021010222;1.2
EMM;2021010223;1.1
EMM;2021010300;0.7
EMM;2021010301;0.3
EMM;2021010302;0.0
EMM;2021010303;0.1
EMM;2021010304;0.1
EMM;2021010305;0.1
EMM;2021010306;0.1
EMM;2021010307;0.2
EMM;2021010308;0.3
EMM;2021010309;0.1
EMM;2021010310;0.5
EMM;2021010311;0.9
EMM;2021010312;1.1
EMM;2021010313;1.2
EMM;2021010314;1.4
EMM;2021010315;1.4
EMM;2021010316;1.3
EMM;2021010317;0.9
EMM;2021010318;0.8
EMM;2021010319;0.6
EMM;2021010320;0.3
EMM;2021010321;-0.6
EMM;2021010322;-1.6
EMM;2021010323;-2.1
EMM;2021010400;-2.3
EMM;2021010401;-1.8
EMM;2021010402;-1.4
EMM;2021010403;-1.1
EMM;2021010404;-1.0
EMM;2021010405;-1.0
EMM;2021010406;-0.9
EMM;2021010407;-0.9
EMM;2021010408;-0.9
EMM;2021010409;-0.5
EMM;2021010410;-0.4
EMM;2021010411;-0.1
EMM;2021010412;0.5
EMM;2021010413;0.8
EMM;2021010414;0.9
EMM;2021010415;1.0
EMM;2021010416;0.8
EMM;2021010417;0.3
EMM;2021010418;0.2
EMM;2021010419;0.2
EMM;2021010420;0.2
EMM;2021010421;0.1
EMM;2021010422;0.2
EMM;2021010423;0.0
EMM;2021010500;0.1
EMM;2021010501;0.0
EMM;2021010502;-0.1
EMM;2021010503;-0.1
EMM;2021010504;-0.1
EMM;2021010505;-0.4
EMM;2021010506;-0.4
EMM;2021010507;-0.7
EMM;2021010508;-0.7
EMM;2021010509;-0.6
EMM;2021010510;-0.3
EMM;2021010511;-0.1
EMM;2021010512;0.0
EMM;2021010513;0.1
EMM;2021010514;0.0
EMM;2021010515;0.0
EMM;2021010516;-0.1
EMM;2021010517;-0.1
EMM;2021010518;0.0
EMM;2021010519;-0.2
EMM;2021010520;-0.2
EMM;2021010521;-0.2
EMM;2021010522;-0.2
EMM;2021010523;-0.3
EMM;2021010600;-0.4
EMM;2021010601;-0.5
EMM;2021010602;-0.6
EMM;2021010603;-0.5
EMM;2021010604;-0.5
EMM;2021010605;-0.7
EMM;2021010606;-0.8
EMM;2021010607;-1.2
EMM;2021010608;-1.5
EMM;2021010609;-0.9
EMM;2021010610;-0.4
EMM;2021010611;0.3
EMM;2021010612;0.5
EMM;2021010613;0.6
EMM;2021010614;0.1
EMM;2021010615;-0.1
EMM;2021010616;-0.1
EMM;2021010617;0.0
EMM;2021010618;-0.1
EMM;2021010619;-0.3
EMM;2021010620;-0.3
EMM;2021010621;-0.2
EMM;2021010622;0.1
EMM;2021010623;0.1
EMM;2021010700;0.0
EMM;2021010701;-0.4
EMM;2021010702;-0.5
EMM;2021010703;-0.7
EMM;2021010704;-0.5
EMM;2021010705;-0.7
EMM;2021010706;-0.7
EMM;2021010707;-0.7
EMM;2021010708;-0.5
EMM;2021010709;0.2
EMM;2021010710;1.0
EMM;2021010711;2.1
EMM;2021010712;2.7
EMM;2021010713;2.1
EMM;2021010714;1.7
EMM;2021010715;1.0
EMM;2021010716;-0.2
EMM;2021010717;-0.6
EMM;2021010718;-0.3
EMM;2021010719;-0.5
EMM;2021010720;-0.7
EMM;2021010721;-0.9
EMM;2021010722;-1.3
EMM;2021010723;-1.8
EMM;2021010800;-1.9
