 

stn;time;rre150h0
ZELULB;2023110316;-
ZELULB;2023110317;0.0
ZELULB;2023110318;0.0
ZELULB;2023110319;0.0
ZELULB;2023110320;0.0
ZELULB;2023110321;0.0
ZELULB;2023110322;0.0
ZELULB;2023110323;0.0
ZELULB;2023110400;0.0
ZELULB;2023110401;0.0
ZELULB;2023110402;0.0
ZELULB;2023110403;0.0
ZELULB;2023110404;0.0
ZELULB;2023110405;0.0
ZELULB;2023110406;0.0
ZELULB;2023110407;0.0
ZELULB;2023110408;0.0
ZELULB;2023110409;0.0
ZELULB;2023110410;0.0
ZELULB;2023110411;0.0
ZELULB;2023110412;0.0
ZELULB;2023110413;0.0
ZELULB;2023110414;0.0
ZELULB;2023110415;1.5
ZELULB;2023110416;1.4
ZELULB;2023110417;1.1
ZELULB;2023110418;1.1
ZELULB;2023110419;1.7
ZELULB;2023110420;1.2
ZELULB;2023110421;1.4
ZELULB;2023110422;0.2
ZELULB;2023110423;0.3
ZELULB;2023110500;0.0
ZELULB;2023110501;0.0
ZELULB;2023110502;0.0
ZELULB;2023110503;0.0
ZELULB;2023110504;0.0
ZELULB;2023110505;0.0
ZELULB;2023110506;0.0
ZELULB;2023110507;0.0
ZELULB;2023110508;0.0
ZELULB;2023110509;0.0
ZELULB;2023110510;0.0
ZELULB;2023110511;0.0
ZELULB;2023110512;0.0
ZELULB;2023110513;0.0
ZELULB;2023110514;0.0
ZELULB;2023110515;0.0
ZELULB;2023110516;0.1
ZELULB;2023110517;0.0
ZELULB;2023110518;0.0
ZELULB;2023110519;0.0
ZELULB;2023110520;0.0
ZELULB;2023110521;0.0
ZELULB;2023110522;0.0
ZELULB;2023110523;0.0
ZELULB;2023110600;0.0
ZELULB;2023110601;0.0
ZELULB;2023110602;0.0
ZELULB;2023110603;0.0
ZELULB;2023110604;0.0
ZELULB;2023110605;0.0
ZELULB;2023110606;0.0
ZELULB;2023110607;0.0
ZELULB;2023110608;0.0
ZELULB;2023110609;0.0
ZELULB;2023110610;0.0
ZELULB;2023110611;0.0
ZELULB;2023110612;0.0
ZELULB;2023110613;0.0
ZELULB;2023110614;0.0
ZELULB;2023110615;0.0
ZELULB;2023110616;0.0
ZELULB;2023110617;0.0
ZELULB;2023110618;0.0
ZELULB;2023110619;0.1
ZELULB;2023110620;0.2
ZELULB;2023110621;0.0
ZELULB;2023110622;0.0
ZELULB;2023110623;0.0
ZELULB;2023110700;0.0
ZELULB;2023110701;0.0
ZELULB;2023110702;0.0
ZELULB;2023110703;0.0
ZELULB;2023110704;0.0
ZELULB;2023110705;0.0
ZELULB;2023110706;0.0
ZELULB;2023110707;0.0
ZELULB;2023110708;0.0
ZELULB;2023110709;0.0
ZELULB;2023110710;0.0
ZELULB;2023110711;0.0
ZELULB;2023110712;0.0
ZELULB;2023110713;0.0
ZELULB;2023110714;0.0
ZELULB;2023110715;0.1
ZELULB;2023110716;0.0
ZELULB;2023110717;0.0
ZELULB;2023110718;0.5
ZELULB;2023110719;0.6
ZELULB;2023110720;0.0
ZELULB;2023110721;0.0
ZELULB;2023110722;0.0
ZELULB;2023110723;0.0
ZELULB;2023110800;0.0
ZELULB;2023110801;0.0
ZELULB;2023110802;0.0
ZELULB;2023110803;0.0
ZELULB;2023110804;0.0
ZELULB;2023110805;0.0
ZELULB;2023110806;0.0
ZELULB;2023110807;0.0
ZELULB;2023110808;0.0
ZELULB;2023110809;0.0
ZELULB;2023110810;0.0
ZELULB;2023110811;0.0
ZELULB;2023110812;0.0
ZELULB;2023110813;0.0
ZELULB;2023110814;0.0
ZELULB;2023110815;0.0
ZELULB;2023110816;0.0
ZELULB;2023110817;0.0
ZELULB;2023110818;0.0
ZELULB;2023110819;0.0
ZELULB;2023110820;0.0
ZELULB;2023110821;0.0
ZELULB;2023110822;0.0
ZELULB;2023110823;0.0
ZELULB;2023110900;0.0
ZELULB;2023110901;0.0
ZELULB;2023110902;0.0
ZELULB;2023110903;0.0
ZELULB;2023110904;0.0
ZELULB;2023110905;0.0
ZELULB;2023110906;0.0
ZELULB;2023110907;0.0
ZELULB;2023110908;0.0
ZELULB;2023110909;0.0
ZELULB;2023110910;0.0
ZELULB;2023110911;0.0
ZELULB;2023110912;0.0
ZELULB;2023110913;0.0
ZELULB;2023110914;0.0
ZELULB;2023110915;0.1
ZELULB;2023110916;0.0
ZELULB;2023110917;0.0
ZELULB;2023110918;0.0
ZELULB;2023110919;0.1
ZELULB;2023110920;0.0
ZELULB;2023110921;0.0
ZELULB;2023110922;0.0
ZELULB;2023110923;0.0
ZELULB;2023111000;0.0
ZELULB;2023111001;0.0
ZELULB;2023111002;0.0
ZELULB;2023111003;0.0
ZELULB;2023111004;0.0
ZELULB;2023111005;0.0
ZELULB;2023111006;0.0
ZELULB;2023111007;1.2
ZELULB;2023111008;0.4
ZELULB;2023111009;0.2
ZELULB;2023111010;0.2
ZELULB;2023111011;0.1
ZELULB;2023111012;0.0
ZELULB;2023111013;0.0
ZELULB;2023111014;0.1
ZELULB;2023111015;0.0
ZELULB;2023111016;0.0
ZELULB;2023111017;0.0
ZELULB;2023111018;0.0
ZELULB;2023111019;0.0
ZELULB;2023111020;0.0
ZELULB;2023111021;0.0
ZELULB;2023111022;0.0
ZELULB;2023111023;0.0
ZELULB;2023111100;0.0
ZELULB;2023111101;0.0
ZELULB;2023111102;0.1
ZELULB;2023111103;0.2
ZELULB;2023111104;0.1
ZELULB;2023111105;0.1
ZELULB;2023111106;0.0
ZELULB;2023111107;0.2
ZELULB;2023111108;0.1
ZELULB;2023111109;0.0
ZELULB;2023111110;0.0
ZELULB;2023111111;0.0
ZELULB;2023111112;0.0
ZELULB;2023111113;0.3
ZELULB;2023111114;0.9
ZELULB;2023111115;0.1
ZELULB;2023111116;0.1
ZELULB;2023111117;0.1
ZELULB;2023111118;0.0
ZELULB;2023111119;0.0
ZELULB;2023111120;0.1
ZELULB;2023111121;0.0
ZELULB;2023111122;0.0
ZELULB;2023111123;0.0
ZELULB;2023111200;0.0
ZELULB;2023111201;0.0
ZELULB;2023111202;0.0
ZELULB;2023111203;0.0
ZELULB;2023111204;0.0
ZELULB;2023111205;0.0
ZELULB;2023111206;0.3
ZELULB;2023111207;0.3
ZELULB;2023111208;1.0
ZELULB;2023111209;1.8
ZELULB;2023111210;1.6
ZELULB;2023111211;0.3
ZELULB;2023111212;0.0
ZELULB;2023111213;0.1
ZELULB;2023111214;0.0
ZELULB;2023111215;0.0
ZELULB;2023111216;0.1
ZELULB;2023111217;0.0
ZELULB;2023111218;0.0
ZELULB;2023111219;0.0
ZELULB;2023111220;0.0
ZELULB;2023111221;0.0
ZELULB;2023111222;0.0
ZELULB;2023111223;0.0
ZELULB;2023111300;0.0
ZELULB;2023111301;0.0
ZELULB;2023111302;0.0
ZELULB;2023111303;0.0
ZELULB;2023111304;0.0
ZELULB;2023111305;0.0
ZELULB;2023111306;0.0
ZELULB;2023111307;0.1
ZELULB;2023111308;0.0
ZELULB;2023111309;0.0
ZELULB;2023111310;-
ZELULB;2023111311;-
ZELULB;2023111312;0.0
ZELULB;2023111313;0.0
ZELULB;2023111314;0.6
ZELULB;2023111315;0.0
ZELULB;2023111316;0.0
ZELULB;2023111317;0.6
ZELULB;2023111318;0.0
ZELULB;2023111319;0.3
ZELULB;2023111320;0.1
ZELULB;2023111321;0.1
ZELULB;2023111322;0.0
ZELULB;2023111323;0.0
ZELULB;2023111400;0.2
ZELULB;2023111401;0.0
ZELULB;2023111402;0.1
ZELULB;2023111403;0.1
ZELULB;2023111404;0.2
ZELULB;2023111405;0.1
ZELULB;2023111406;3.6
ZELULB;2023111407;4.0
ZELULB;2023111408;1.8
ZELULB;2023111409;0.1
ZELULB;2023111410;0.5
ZELULB;2023111411;1.3
ZELULB;2023111412;2.3
ZELULB;2023111413;2.4
ZELULB;2023111414;2.9
ZELULB;2023111415;2.0
ZELULB;2023111416;5.3
ZELULB;2023111417;2.8
ZELULB;2023111418;2.4
ZELULB;2023111419;2.8
ZELULB;2023111420;0.5
ZELULB;2023111421;0.4
ZELULB;2023111422;0.0
ZELULB;2023111423;0.0
ZELULB;2023111500;0.1
ZELULB;2023111501;0.0
ZELULB;2023111502;0.1
ZELULB;2023111503;2.9
ZELULB;2023111504;0.1
ZELULB;2023111505;0.0
ZELULB;2023111506;0.2
ZELULB;2023111507;0.0
ZELULB;2023111508;0.0
ZELULB;2023111509;0.0
ZELULB;2023111510;0.0
ZELULB;2023111511;0.0
ZELULB;2023111512;0.0
ZELULB;2023111513;0.0
ZELULB;2023111514;0.0
ZELULB;2023111515;0.3
ZELULB;2023111516;0.0
ZELULB;2023111517;0.0
ZELULB;2023111518;0.0
ZELULB;2023111519;0.0
ZELULB;2023111520;0.0
ZELULB;2023111521;0.0
ZELULB;2023111522;0.0
ZELULB;2023111523;0.0
ZELULB;2023111600;0.0
ZELULB;2023111601;0.0
ZELULB;2023111602;0.0
ZELULB;2023111603;0.0
ZELULB;2023111604;0.0
ZELULB;2023111605;0.0
ZELULB;2023111606;0.0
ZELULB;2023111607;0.0
ZELULB;2023111608;0.0
ZELULB;2023111609;0.0
ZELULB;2023111610;0.0
ZELULB;2023111611;0.0
ZELULB;2023111612;0.0
ZELULB;2023111613;0.0
ZELULB;2023111614;0.1
ZELULB;2023111615;0.0
ZELULB;2023111616;0.0
ZELULB;2023111617;0.0
ZELULB;2023111618;0.0
ZELULB;2023111619;0.0
ZELULB;2023111620;0.0
ZELULB;2023111621;0.0
ZELULB;2023111622;0.0
ZELULB;2023111623;0.0
ZELULB;2023111700;0.0
ZELULB;2023111701;0.0
ZELULB;2023111702;0.0
ZELULB;2023111703;0.0
ZELULB;2023111704;0.0
ZELULB;2023111705;0.0
ZELULB;2023111706;0.1
ZELULB;2023111707;0.3
ZELULB;2023111708;0.2
ZELULB;2023111709;0.0
ZELULB;2023111710;0.0
ZELULB;2023111711;0.0
ZELULB;2023111712;0.1
ZELULB;2023111713;0.0
ZELULB;2023111714;0.3
ZELULB;2023111715;0.1
ZELULB;2023111716;-
ZELULB;2023111717;0.1
ZELULB;2023111718;0.1
ZELULB;2023111719;0.0
ZELULB;2023111720;0.9
ZELULB;2023111721;0.4
ZELULB;2023111722;0.1
ZELULB;2023111723;0.2
ZELULB;2023111800;0.0
ZELULB;2023111801;0.0
ZELULB;2023111802;0.0
ZELULB;2023111803;0.0
ZELULB;2023111804;0.0
ZELULB;2023111805;0.0
ZELULB;2023111806;0.0
ZELULB;2023111807;0.0
ZELULB;2023111808;0.0
ZELULB;2023111809;0.0
ZELULB;2023111810;0.0
ZELULB;2023111811;0.0
ZELULB;2023111812;0.0
ZELULB;2023111813;0.0
ZELULB;2023111814;0.0
ZELULB;2023111815;0.0
ZELULB;2023111816;0.1
ZELULB;2023111817;0.0
ZELULB;2023111818;0.2
ZELULB;2023111819;0.5
ZELULB;2023111820;0.7
ZELULB;2023111821;1.5
ZELULB;2023111822;1.9
ZELULB;2023111823;0.6
ZELULB;2023111900;0.2
ZELULB;2023111901;0.0
ZELULB;2023111902;0.0
ZELULB;2023111903;0.0
ZELULB;2023111904;0.0
ZELULB;2023111905;0.3
ZELULB;2023111906;0.2
ZELULB;2023111907;1.8
ZELULB;2023111908;1.1
ZELULB;2023111909;0.1
ZELULB;2023111910;0.0
ZELULB;2023111911;0.0
ZELULB;2023111912;0.0
ZELULB;2023111913;0.0
ZELULB;2023111914;0.0
ZELULB;2023111915;0.0
ZELULB;2023111916;0.0
ZELULB;2023111917;0.0
ZELULB;2023111918;0.0
ZELULB;2023111919;0.0
ZELULB;2023111920;0.0
ZELULB;2023111921;0.0
ZELULB;2023111922;0.0
ZELULB;2023111923;0.0
ZELULB;2023112000;0.0
ZELULB;2023112001;0.0
ZELULB;2023112002;0.0
ZELULB;2023112003;0.0
ZELULB;2023112004;0.0
ZELULB;2023112005;0.0
ZELULB;2023112006;0.0
ZELULB;2023112007;0.0
ZELULB;2023112008;0.0
ZELULB;2023112009;0.0
ZELULB;2023112010;0.0
ZELULB;2023112011;0.0
ZELULB;2023112012;0.0
ZELULB;2023112013;0.0
ZELULB;2023112014;0.0
ZELULB;2023112015;0.0
ZELULB;2023112016;0.0
ZELULB;2023112017;0.0
ZELULB;2023112018;0.0
